,technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component
33,T1562.009,True,Safe Mode Boot,['defense-evasion'],['Windows'],Windows Registry,Windows Registry Key Creation
34,T1562.009,True,Safe Mode Boot,['defense-evasion'],['Windows'],Command,Command Execution
35,T1564.008,True,Email Hiding Rules,['defense-evasion'],"['Windows', 'Office 365', 'Linux', 'macOS']",File,File Modification
36,T1564.008,True,Email Hiding Rules,['defense-evasion'],"['Windows', 'Office 365', 'Linux', 'macOS']",Command,Command Execution
37,T1564.008,True,Email Hiding Rules,['defense-evasion'],"['Windows', 'Office 365', 'Linux', 'macOS']",Application Log,Application Log Content
38,T1505.004,True,IIS Components,['persistence'],['Windows'],File,File Creation
39,T1505.004,True,IIS Components,['persistence'],['Windows'],File,File Modification
40,T1505.004,True,IIS Components,['persistence'],['Windows'],Command,Command Execution
41,T1027.006,True,HTML Smuggling,['defense-evasion'],"['Windows', 'Linux', 'macOS']",File,File Creation
42,T1213.003,True,Code Repositories,['collection'],['SaaS'],Logon Session,Logon Session Creation
43,T1213.003,True,Code Repositories,['collection'],['SaaS'],Application Log,Application Log Content
44,T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",Windows Registry,Windows Registry Key Modification
45,T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",Command,Command Execution
46,T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",Process,Process Creation
47,T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",Instance,Instance Metadata
48,T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",Process,Process Creation
49,T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",Command,Command Execution
50,T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",Process,OS API Execution
51,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Cluster,Cluster Metadata
52,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Container,Container Enumeration
53,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Container,Container Metadata
54,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Pod,Pod Enumeration
55,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Pod,Pod Metadata
56,T1613,False,Container and Resource Discovery,['discovery'],['Containers'],Application Log,Application Log Content
57,T1552.007,True,Container API,['credential-access'],['Containers'],Command,Command Execution
58,T1552.007,True,Container API,['credential-access'],['Containers'],File,File Access
59,T1552.007,True,Container API,['credential-access'],['Containers'],User Account,User Account Authentication
60,T1612,False,Build Image on Host,['defense-evasion'],['Containers'],Image,Image Creation
61,T1612,False,Build Image on Host,['defense-evasion'],['Containers'],Network Traffic,Network Connection Creation
62,T1612,False,Build Image on Host,['defense-evasion'],['Containers'],Network Traffic,Network Traffic Flow
63,T1612,False,Build Image on Host,['defense-evasion'],['Containers'],Network Traffic,Network Traffic Content
64,T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",Container,Container Creation
65,T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",Process,OS API Execution
66,T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",Process,Process Creation
67,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Container,Container Creation
68,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Container,Container Start
69,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Command,Command Execution
70,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Image,Image Creation
71,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Instance,Instance Creation
72,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Instance,Instance Start
73,T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",Application Log,Application Log Content
74,T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],Scheduled Job,Scheduled Job Creation
75,T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],Container,Container Creation
76,T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],File,File Creation
77,T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],Container,Container Creation
78,T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],Container,Container Start
79,T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],Pod,Pod Creation
80,T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],Pod,Pod Modification
81,T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],Application Log,Application Log Content
82,T1609,False,Container Administration Command,['execution'],['Containers'],Command,Command Execution
83,T1608.005,True,Link Target,['resource-development'],['PRE'],Internet Scan,Response Content
84,T1608.004,True,Drive-by Target,['resource-development'],['PRE'],Internet Scan,Response Content
85,T1608.003,True,Install Digital Certificate,['resource-development'],['PRE'],Internet Scan,Response Content
86,T1608.002,True,Upload Tool,['resource-development'],['PRE'],Internet Scan,Response Content
87,T1608.001,True,Upload Malware,['resource-development'],['PRE'],Internet Scan,Response Content
88,T1608,False,Stage Capabilities,['resource-development'],['PRE'],Internet Scan,Response Content
89,T1016.001,True,Internet Connection Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Process,Process Creation
90,T1016.001,True,Internet Connection Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",Command,Command Execution
91,T1553.005,True,Mark-of-the-Web Bypass,['defense-evasion'],['Windows'],File,File Creation
92,T1553.005,True,Mark-of-the-Web Bypass,['defense-evasion'],['Windows'],File,File Metadata
93,T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",Process,OS API Execution
94,T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",File,File Access
95,T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",Process,Process Access
96,T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",Command,Command Execution
97,T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",Active Directory,Active Directory Object Creation
98,T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",Active Directory,Active Directory Object Modification
99,T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",Command,Command Execution
100,T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],Active Directory,Active Directory Object Creation
101,T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],Active Directory,Active Directory Object Deletion
102,T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],Active Directory,Active Directory Object Modification
103,T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],Command,Command Execution
104,T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],Windows Registry,Windows Registry Key Creation
105,T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],Windows Registry,Windows Registry Key Modification
106,T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],Process,Process Creation
107,T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],Command,Command Execution
108,T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace', 'IaaS']",Logon Session,Logon Session Creation
109,T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace', 'IaaS']",Web Credential,Web Credential Creation
110,T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace', 'IaaS']",Web Credential,Web Credential Usage
111,T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS', 'IaaS']",Logon Session,Logon Session Creation
112,T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS', 'IaaS']",Web Credential,Web Credential Creation
113,T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS', 'IaaS']",Web Credential,Web Credential Usage
114,T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace', 'IaaS']",Logon Session,Logon Session Creation
115,T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace', 'IaaS']",Web Credential,Web Credential Creation
116,T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace', 'IaaS']",Web Credential,Web Credential Usage
117,T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],Process,Process Creation
118,T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],Command,Command Execution
119,T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],Process,OS API Execution
120,T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],File,File Access
121,T1059.008,True,Network Device CLI,['execution'],['Network'],Command,Command Execution
122,T1602.002,True,Network Device Configuration Dump,['collection'],['Network'],Network Traffic,Network Connection Creation
123,T1602.002,True,Network Device Configuration Dump,['collection'],['Network'],Network Traffic,Network Traffic Content
124,T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],Command,Command Execution
125,T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],Network Traffic,Network Connection Creation
126,T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],Firmware,Firmware Modification
127,T1542.004,True,ROMMONkit,"['defense-evasion', 'persistence']",['Network'],Firmware,Firmware Modification
128,T1602.001,True,SNMP (MIB Dump),['collection'],['Network'],Network Traffic,Network Connection Creation
129,T1602.001,True,SNMP (MIB Dump),['collection'],['Network'],Network Traffic,Network Traffic Content
130,T1602,False,Data from Configuration Repository,['collection'],['Network'],Network Traffic,Network Connection Creation
131,T1602,False,Data from Configuration Repository,['collection'],['Network'],Network Traffic,Network Traffic Content
132,T1601.002,True,Downgrade System Image,['defense-evasion'],['Network'],File,File Modification
133,T1601.001,True,Patch System Image,['defense-evasion'],['Network'],File,File Modification
134,T1601,False,Modify System Image,['defense-evasion'],['Network'],File,File Modification
135,T1600.002,True,Disable Crypto Hardware,['defense-evasion'],['Network'],File,File Modification
136,T1600.001,True,Reduce Key Space,['defense-evasion'],['Network'],File,File Modification
137,T1600,False,Weaken Encryption,['defense-evasion'],['Network'],File,File Modification
138,T1556.004,True,Network Device Authentication,"['credential-access', 'defense-evasion', 'persistence']",['Network'],File,File Modification
139,T1599.001,True,Network Address Translation Traversal,['defense-evasion'],['Network'],Network Traffic,Network Traffic Flow
140,T1599.001,True,Network Address Translation Traversal,['defense-evasion'],['Network'],Network Traffic,Network Traffic Content
141,T1599,False,Network Boundary Bridging,['defense-evasion'],['Network'],Network Traffic,Network Traffic Flow
142,T1599,False,Network Boundary Bridging,['defense-evasion'],['Network'],Network Traffic,Network Traffic Content
143,T1020.001,True,Traffic Duplication,['exfiltration'],['Network'],Network Traffic,Network Connection Creation
144,T1020.001,True,Traffic Duplication,['exfiltration'],['Network'],Network Traffic,Network Traffic Flow
145,T1557.002,True,ARP Cache Poisoning,"['credential-access', 'collection']","['Linux', 'Windows', 'macOS']",Network Traffic,Network Traffic Content
146,T1557.002,True,ARP Cache Poisoning,"['credential-access', 'collection']","['Linux', 'Windows', 'macOS']",Network Traffic,Network Traffic Flow
147,T1588.006,True,Vulnerabilities,['resource-development'],['PRE'],,
148,T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],Scheduled Job,Scheduled Job Creation
149,T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],Command,Command Execution
150,T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],File,File Modification
151,T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],Process,Process Creation
152,T1562.008,True,Disable Cloud Logs,['defense-evasion'],['IaaS'],Cloud Service,Cloud Service Modification
153,T1562.008,True,Disable Cloud Logs,['defense-evasion'],['IaaS'],Cloud Service,Cloud Service Disable
154,T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],File,File Creation
155,T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],Process,OS API Execution
156,T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],Module,Module Load
157,T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],Windows Registry,Windows Registry Key Modification
158,T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],Driver,Driver Load
159,T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],Application Log,Application Log Content
160,T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
161,T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
162,T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],Application Log,Application Log Content
163,T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
164,T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
165,T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],Application Log,Application Log Content
166,T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
167,T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
168,T1598,False,Phishing for Information,['reconnaissance'],['PRE'],Application Log,Application Log Content
169,T1598,False,Phishing for Information,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
170,T1598,False,Phishing for Information,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
171,T1597.002,True,Purchase Technical Data,['reconnaissance'],['PRE'],,
172,T1597.001,True,Threat Intel Vendors,['reconnaissance'],['PRE'],,
173,T1597,False,Search Closed Sources,['reconnaissance'],['PRE'],,
174,T1596.005,True,Scan Databases,['reconnaissance'],['PRE'],,
175,T1596.004,True,CDNs,['reconnaissance'],['PRE'],,
176,T1596.003,True,Digital Certificates,['reconnaissance'],['PRE'],,
177,T1596.001,True,DNS/Passive DNS,['reconnaissance'],['PRE'],,
178,T1596.002,True,WHOIS,['reconnaissance'],['PRE'],,
179,T1596,False,Search Open Technical Databases,['reconnaissance'],['PRE'],,
180,T1595.002,True,Vulnerability Scanning,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
181,T1595.002,True,Vulnerability Scanning,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
182,T1595.001,True,Scanning IP Blocks,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
183,T1595,False,Active Scanning,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Flow
184,T1595,False,Active Scanning,['reconnaissance'],['PRE'],Network Traffic,Network Traffic Content
185,T1594,False,Search Victim-Owned Websites,['reconnaissance'],['PRE'],Application Log,Application Log Content
186,T1593.002,True,Search Engines,['reconnaissance'],['PRE'],,
187,T1593.001,True,Social Media,['reconnaissance'],['PRE'],,
188,T1593,False,Search Open Websites/Domains,['reconnaissance'],['PRE'],,
189,T1592.004,True,Client Configurations,['reconnaissance'],['PRE'],Internet Scan,Response Content
190,T1592.003,True,Firmware,['reconnaissance'],['PRE'],,
191,T1592.002,True,Software,['reconnaissance'],['PRE'],Internet Scan,Response Content
192,T1592.001,True,Hardware,['reconnaissance'],['PRE'],Internet Scan,Response Content
193,T1592,False,Gather Victim Host Information,['reconnaissance'],['PRE'],Internet Scan,Response Content
194,T1591.004,True,Identify Roles,['reconnaissance'],['PRE'],,
195,T1591.003,True,Identify Business Tempo,['reconnaissance'],['PRE'],,
196,T1591.001,True,Determine Physical Locations,['reconnaissance'],['PRE'],,
197,T1591.002,True,Business Relationships,['reconnaissance'],['PRE'],,
198,T1591,False,Gather Victim Org Information,['reconnaissance'],['PRE'],,
199,T1590.006,True,Network Security Appliances,['reconnaissance'],['PRE'],,
200,T1590.005,True,IP Addresses,['reconnaissance'],['PRE'],,
201,T1590.004,True,Network Topology,['reconnaissance'],['PRE'],,
202,T1590.003,True,Network Trust Dependencies,['reconnaissance'],['PRE'],,
203,T1590.002,True,DNS,['reconnaissance'],['PRE'],,
204,T1590.001,True,Domain Properties,['reconnaissance'],['PRE'],,
205,T1590,False,Gather Victim Network Information,['reconnaissance'],['PRE'],,
206,T1589.003,True,Employee Names,['reconnaissance'],['PRE'],,
207,T1589.002,True,Email Addresses,['reconnaissance'],['PRE'],,
208,T1589.001,True,Credentials,['reconnaissance'],['PRE'],,
209,T1589,False,Gather Victim Identity Information,['reconnaissance'],['PRE'],,
210,T1588.005,True,Exploits,['resource-development'],['PRE'],,
211,T1588.004,True,Digital Certificates,['resource-development'],['PRE'],Certificate,Certificate Registration
212,T1588.004,True,Digital Certificates,['resource-development'],['PRE'],Internet Scan,Response Content
213,T1588.003,True,Code Signing Certificates,['resource-development'],['PRE'],Malware Repository,Malware Metadata
214,T1588.002,True,Tool,['resource-development'],['PRE'],Malware Repository,Malware Metadata
215,T1588.001,True,Malware,['resource-development'],['PRE'],Malware Repository,Malware Metadata
216,T1588.001,True,Malware,['resource-development'],['PRE'],Malware Repository,Malware Content
217,T1588,False,Obtain Capabilities,['resource-development'],['PRE'],Malware Repository,Malware Metadata
218,T1588,False,Obtain Capabilities,['resource-development'],['PRE'],Malware Repository,Malware Content
219,T1588,False,Obtain Capabilities,['resource-development'],['PRE'],Certificate,Certificate Registration
220,T1588,False,Obtain Capabilities,['resource-development'],['PRE'],Internet Scan,Response Content
221,T1587.004,True,Exploits,['resource-development'],['PRE'],,
222,T1587.003,True,Digital Certificates,['resource-development'],['PRE'],Internet Scan,Response Content
223,T1587.002,True,Code Signing Certificates,['resource-development'],['PRE'],Malware Repository,Malware Metadata
224,T1587.001,True,Malware,['resource-development'],['PRE'],Malware Repository,Malware Metadata
225,T1587.001,True,Malware,['resource-development'],['PRE'],Malware Repository,Malware Content
226,T1587,False,Develop Capabilities,['resource-development'],['PRE'],Malware Repository,Malware Metadata
227,T1587,False,Develop Capabilities,['resource-development'],['PRE'],Malware Repository,Malware Content
228,T1587,False,Develop Capabilities,['resource-development'],['PRE'],Internet Scan,Response Content
229,T1586.002,True,Email Accounts,['resource-development'],['PRE'],,
230,T1586.001,True,Social Media Accounts,['resource-development'],['PRE'],Persona,Social Media
231,T1586.001,True,Social Media Accounts,['resource-development'],['PRE'],Network Traffic,Network Traffic Content
232,T1586,False,Compromise Accounts,['resource-development'],['PRE'],Persona,Social Media
233,T1586,False,Compromise Accounts,['resource-development'],['PRE'],Network Traffic,Network Traffic Content
234,T1585.002,True,Email Accounts,['resource-development'],['PRE'],,
235,T1585.001,True,Social Media Accounts,['resource-development'],['PRE'],Persona,Social Media
236,T1585.001,True,Social Media Accounts,['resource-development'],['PRE'],Network Traffic,Network Traffic Content
237,T1585,False,Establish Accounts,['resource-development'],['PRE'],Persona,Social Media
238,T1585,False,Establish Accounts,['resource-development'],['PRE'],Network Traffic,Network Traffic Content
239,T1584.006,True,Web Services,['resource-development'],['PRE'],Internet Scan,Response Content
240,T1584.005,True,Botnet,['resource-development'],['PRE'],,
241,T1584.004,True,Server,['resource-development'],['PRE'],Internet Scan,Response Metadata
242,T1584.004,True,Server,['resource-development'],['PRE'],Internet Scan,Response Content
243,T1584.003,True,Virtual Private Server,['resource-development'],['PRE'],Internet Scan,Response Metadata
244,T1584.003,True,Virtual Private Server,['resource-development'],['PRE'],Internet Scan,Response Content
245,T1584.002,True,DNS Server,['resource-development'],['PRE'],Domain Name,Active DNS
246,T1584.002,True,DNS Server,['resource-development'],['PRE'],Domain Name,Passive DNS
247,T1584.001,True,Domains,['resource-development'],['PRE'],Domain Name,Active DNS
248,T1584.001,True,Domains,['resource-development'],['PRE'],Domain Name,Passive DNS
249,T1584.001,True,Domains,['resource-development'],['PRE'],Domain Name,Domain Registration
250,T1583.006,True,Web Services,['resource-development'],['PRE'],Internet Scan,Response Content
251,T1583.005,True,Botnet,['resource-development'],['PRE'],,
252,T1583.004,True,Server,['resource-development'],['PRE'],Internet Scan,Response Metadata
253,T1583.004,True,Server,['resource-development'],['PRE'],Internet Scan,Response Content
254,T1583.003,True,Virtual Private Server,['resource-development'],['PRE'],Internet Scan,Response Metadata
255,T1583.003,True,Virtual Private Server,['resource-development'],['PRE'],Internet Scan,Response Content
256,T1583.002,True,DNS Server,['resource-development'],['PRE'],,
257,T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],Internet Scan,Response Metadata
258,T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],Internet Scan,Response Content
259,T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],Domain Name,Active DNS
260,T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],Domain Name,Passive DNS
261,T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],Domain Name,Domain Registration
262,T1583.001,True,Domains,['resource-development'],['PRE'],Domain Name,Active DNS
263,T1583.001,True,Domains,['resource-development'],['PRE'],Domain Name,Passive DNS
264,T1583.001,True,Domains,['resource-development'],['PRE'],Domain Name,Domain Registration
265,T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],Internet Scan,Response Metadata
266,T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],Internet Scan,Response Content
267,T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],Domain Name,Active DNS
268,T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],Domain Name,Passive DNS
269,T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],Domain Name,Domain Registration
270,T1564.007,True,VBA Stomping,['defense-evasion'],"['Linux', 'Windows', 'macOS']",Script,Script Execution
271,T1564.007,True,VBA Stomping,['defense-evasion'],"['Linux', 'Windows', 'macOS']",File,File Metadata
272,T1558.004,True,AS-REP Roasting,['credential-access'],['Windows'],Active Directory,Active Directory Credential Request
273,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Instance,Instance Metadata
274,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Instance,Instance Enumeration
275,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Snapshot,Snapshot Metadata
276,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Snapshot,Snapshot Enumeration
277,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Cloud Storage,Cloud Storage Metadata
278,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Cloud Storage,Cloud Storage Enumeration
279,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Volume,Volume Metadata
280,T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],Volume,Volume Enumeration
281,T1218.012,True,Verclsid,['defense-evasion'],['Windows'],Process,Process Creation
282,T1218.012,True,Verclsid,['defense-evasion'],['Windows'],Command,Command Execution
283,T1205.001,True,Port Knocking,"['defense-evasion', 'persistence', 'command-and-control']","['Linux', 'macOS', 'Windows', 'Network']",Network Traffic,Network Connection Creation
284,T1205.001,True,Port Knocking,"['defense-evasion', 'persistence', 'command-and-control']","['Linux', 'macOS', 'Windows', 'Network']",Network Traffic,Network Traffic Flow
285,T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Process,Process Creation
286,T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",File,File Creation
287,T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Command,Command Execution
288,T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Service,Service Creation
289,T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Windows Registry,Windows Registry Key Modification
290,T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Windows Registry,Windows Registry Key Modification
291,T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",File,File Modification
292,T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",Firmware,Firmware Modification
